"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_Coilcraft_ZA9423";1;"20n";;;
2;"C4,C2,C3";"C_1206_3216Metric";3;"C_Small";;;
3;"D8,D4,D3,D7,D2,D5,D6";"D_SOD-523";7;"RB886GT2R";;;
4;"U4";"SOT-23-6";1;"TLV3501";;;
5;"L2";"Coilcraft_1212VS";1;"18n";;;
6;"RF_IN";"SMA_Amphenol_132134-10_Vertical";1;"RF_IN";;;
7;"C19,C20,C12,C21,C15,C7,C5,C13,C14,C6,C22";"C_0603_1608Metric";11;"C";;;
8;"L3";"Coilcraft_2014VS";1;"128n";;;
9;"C9,C8,C11";"C_0402_1005Metric";3;"C";;;
10;"C28,C26,C27";"C_1206_3216Metric";3;"22u";;;
11;"R7";"R_0603_1608Metric";1;"30k";;;
12;"U3,U5,U6,U7";"nc7wz04_sc-88_SOIC-6";4;"NC7WZ04";;;
13;"C24,C23";"C_0805_2012Metric";2;"10u";;;
14;"RF_OUT";"SMA_Amphenol_132134-10_Vertical";1;"RF_OUT";;;
15;"Q1";"BGA-9_3x3_6.0x6.0mm";1;"EPC2214";;;
16;"C10,C17";"C_0402_1005Metric";2;"C_Small";;;
17;"D1";"D_SOD-523";1;"SMS3922";;;
18;"U1";"SOT-563";1;"TPS563203";;;
19;"C25,C29";"C_0603_1608Metric";2;"100n";;;
20;"R6";"R_0603_1608Metric";1;"SHORT";;;
21;"12 V,GND";"Banana_Jack_1Pin";2;"Conn_01x01_Pin";;;
22;"R3";"R_0603_1608Metric";1;"220k";;;
23;"R5";"R_0603_1608Metric";1;"OPEN";;;
24;"L5";"L_Taiyo-Yuden_MD-5050";1;"2.2U";;;
25;"R4";"R_0603_1608Metric";1;"50";;;
26;"C1";"CP_Elec_6.3x7.7";1;"C_Small";;;
27;"R2";"R_0402_1005Metric";1;"15k";;;
28;"L4";"Coilcraft_2014VS";1;"259n";;;
29;"C18";"C_0603_1608Metric";1;"0.1u";;;
30;"R1";"R_0402_1005Metric";1;"100k";;;
